Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"CR0603-JW-102ELF","1K resistor",1,0.10,"https://www.digikey.com/en/products/detail/bourns-inc/CR0603-JW-102ELF/3741004","Digikey"
"CR0603-JW-202ELF","2K resistor",1,0.10,"https://www.digikey.com/en/products/detail/bourns-inc/CR0603-JW-202ELF/3784319","Digikey"
"CR0603-JW-472ELF","4.7K Resistor",1,0.10,"https://www.digikey.com/en/products/detail/bourns-inc/CR0603-JW-472ELF/3593210","Digikey"
"CR0603-FX-1002ELF","10K Chip Resistor",1,0.10,"https://www.digikey.com/en/products/detail/bourns-inc/CR0603-FX-1002ELF/3593188","Digikey"
"1N4148WS","Diode",1,0.18,"https://www.digikey.com/en/products/detail/onsemi/1n4148ws/1873805","Digikey"
"AP2112K-2.5TRG1","Voltage Regulator",1,0.23,"https://www.digikey.com/en/products/detail/diodes-incorporated/AP2112K-2-5TRG1/5305549","Digikey"
"MCP73831T-2ACI/OT","Battery IC",1,0.76,"https://www.digikey.com/en/products/detail/microchip-technology/mcp73831t-2aci-ot/964301","Digikey"
"10164359-00011LF","USB-C Receptacle",1,0.48,"https://www.digikey.com/en/products/detail/amphenol-cs-fci/10164359-00011LF/18443702","Digikey"
"3.7V 200mAh 602025 Lipo Battery Rechargeable Lithium Polymer ion Battery Pack with PH2.0mm JST Connector","Lipo Battery",1,6.99,"https://www.amazon.com/battery-Rechargeable-Lithium-Polymer-Connector/dp/B07C9R84QS?th=1","Amazon"
"AO3400A","Mosfet",1,0.52,"https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/ao3400a/1855772","Digikey"
"FIT0774","Vibration Motor",1,0.99,"https://www.digikey.com/en/products/detail/dfrobot/FIT0774/14322639","Digikey"
"TL3360DF185Q","Push Buttons",2,2.20,"https://www.digikey.com/en/products/detail/e-switch/TL3360DF185Q/5816190","Digikey"
"PCB","PCB",1,5.10,"","JLCPCB"
"GC9A01 TFT Display 1.28 Inch TFT LCD Display Module","Display",1,3.04,"https://www.aliexpress.us/item/3256804295713253.html?spm=a2g0o.productlist.main.1.72e868cbNY8m2O&algo_pvid=cbf8276d-6af7-4c48-97d5-3596374e4755&algo_exp_id=cbf8276d-6af7-4c48-97d5-3596374e4755-0&pdp_ext_f=%7B%22order%22%3A%225347%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.04%212.54%21%21%213.04%212.54%21%40210328df17798405944315780e2b71%2112000049978631702%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aee4ca929%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=uTnJoR09Xv6y&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004482028005%7C_p_origin_prod%3A","Aliexpress"
"XIAO ESP32C6","Microcontroller",1,9.28,"https://www.aliexpress.us/item/3256807240718259.html?gatewayAdapt=glo2usa4itemAdapt","Aliexpress"
